time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775583026002233600,3875.966233642578,550.5120910620317,1.161386120706375,180,-33.43944121321482,524.697397611104,276.481880862399,15.592945323882372,3,-70.68715430351288,0
1775583027002253000,3876.966253173828,550.5808505117893,1.6894790996065316,180,-33.43942505175703,524.7661570608616,276.48187834005114,12.885434909532407,3,-70.68715775430273,0.08796183411430983
1775583028002273000,3877.966272949219,550.6397156147286,1.7772768738578306,180,-33.439424250101965,524.8250221638009,276.4818810338145,12.885689961939146,3,-70.68716180204376,0.13906001809646848
1775583029002293000,3878.96629296875,550.503721293062,1.7623999213388681,180,-33.439421597013855,524.6890278421342,276.4818753623465,12.776400619384694,3,-70.68715294934042,0.09637372483539079
1775583030002314000,3879.9663139648437,550.6412548311055,1.8956954291255814,180,-33.43941961635899,524.8265613801777,276.4818810945466,12.776675389611244,3,-70.68716145813235,0.12055808887926948
1775583031002332700,3880.9663327636717,550.5346193416044,1.774938785940312,180,-33.4394187685695,524.7199258906767,276.48188371222665,12.776950368199723,3,-70.68716533569055,0.0916973030455871
1775583032002353200,3881.9663532714844,550.496675892733,1.860703272491656,180,-33.439417000606795,524.6819824418053,276.48188998728426,12.777295959984025,3,-70.68717460286703,0.09817667649529825
1775583033002373600,3882.9663735351564,550.408480623737,1.3565047415790719,180,-33.439417728523296,524.5937871728092,276.4818938775944,12.777570765743908,3,-70.68718012541113,0.01356107295402166
1775583034002393900,3883.966393798828,550.3461343804374,1.6798968993764378,180,-33.439416624628066,524.5314409295097,276.4818936831743,12.67733169923378,3,-70.68717919187097,0.011399878653431568
1775583035002413000,3884.9664130859373,550.3838899172843,1.7831117325347658,180,-33.439417583361134,524.5691964663565,276.48189023716384,12.67762395235664,3,-70.68717417650035,0.006260190048450468
1775583036002433300,3885.9664333496094,550.4764036871493,1.4898862829779047,180,-33.439417501681206,524.6617102362216,276.4818905196276,12.677916398915157,3,-70.68717458409904,0
1775583037002453200,3886.9664533691407,550.4253208925948,1.6831610446472873,180,-33.439418545097645,524.610627441667,276.48188926293375,12.62618232062425,3,-70.68717228125477,0.014933117988507072
1775583038002473500,3887.966473388672,550.4229127690196,1.4794353419684119,180,-33.43941857623878,524.6082193180919,276.4818892111061,12.626483673343728,3,-70.68717220100115,0
1775583039002494000,3888.9664938964843,550.4162913700566,1.679653931116059,180,-33.43942040500352,524.6015979191288,276.4818950278099,12.538306630640028,3,-70.68717936838797,0.06618247190391681
1775583040002514400,3889.966514404297,550.2919168742374,1.7384834020340585,180,-33.4394208353772,524.4772234233096,276.4819009975547,12.51343695610614,3,-70.6871864207884,0.27865651630258154
1775583041002533600,3890.9665336914063,550.6811238238588,1.9708045773544254,180,-33.439419920865696,524.8664303729311,276.48190471119716,12.37626610695853,3,-70.68718964065312,0.428081012769255
1775583042000172000,3891.9641721191406,550.4268170716241,2.340986668504957,180,-33.43941949055822,524.6121236206964,276.4819040671566,12.273319018401773,3,-70.68718773846888,0.2239391984605637
1775583043000152000,3892.9641520996092,550.5964181814343,2.738697688466806,180,-33.4394218089052,524.7817247305065,276.48190641902715,12.213761351905875,3,-70.68718870572566,0.2643543653300082
1775583044000168700,3893.9641687011717,550.2704460257664,3.1125795241433503,180,-33.43942286083214,524.4557525748387,276.48190773522435,12.427417610932125,3,-70.68719008168611,0.2597349033755567
1775583045000159000,3894.964158935547,550.1503591099754,3.4577535788762246,180,-33.439431070866284,524.3356656590477,276.48190648994813,9.97718706425791,3,-70.68717533346108,0.47806675934836806
1775583046000140000,3895.964140136719,550.0113151753321,3.7961740597409217,180,-33.43943317901908,524.1966217244044,276.481911648494,9.558830571287848,3,-70.68717562390177,0.43134082444625094
1775583047000154000,3896.9641540527346,550.1161635760218,4.136898506698351,180,-33.439432771820684,524.301470125094,276.4819157704145,9.02055206446087,3,-70.68717877764675,0.6731604112536919
1775583048000137700,3897.9641376953123,550.117909793742,1.569792994970779,180,-33.439431903827234,524.3032163428143,276.48191477174527,8.322926877276947,3,-70.68718108808312,0
1775583049000123100,3898.964123046875,550.117909793742,1.4746770438280499,180,-33.43943189958268,524.3032163428143,276.48191477174527,8.912649941636023,3,-70.68718099240749,0
1775583050000138200,3899.9641381835936,550.117909793742,1.3833917623042336,180,-33.43942345877673,524.3032163428143,276.48191477174527,9.00504174375419,3,-70.68718403502504,0
1775583051000123100,3900.964123046875,550.117909793742,1.2927656437764703,180,-33.43942351693677,524.3032163428143,276.48191477174527,9.206503144029602,3,-70.68718392230569,0
1775583052000113400,3901.9641135253905,550.117909793742,3.242298673998725,-1,-33.439424034943066,524.3032163428143,-1,8.843855815288299,4.000000000247585,-70.68718251992519,0
1775583053000127200,3902.9641271972655,550.117909793742,3.242298673998725,-1,-33.43942408612994,524.3032163428143,-1,8.81288884625813,4.000000000228402,-70.68718242350634,0
1775583054000110000,3903.9641101074217,550.117909793742,0.7185619110417696,-1,-33.439425560128704,524.3032163428143,-1,8.038986874361704,4.000000000237076,-70.68718459299097,0
1775583055000101600,3904.9641015625,550.117909793742,0.7185619110417696,-1,-33.439425560250136,524.3032163428143,-1,8.038909220508955,4.000000000237011,-70.6871845926586,0
1775583056000120600,3905.964120605469,550.117909793742,0.7185619110417696,-1,-33.43941842395523,524.3032163428143,-1,7.628981622307937,4.000000000241334,-70.68719320519071,0
1775583057000139000,3906.9641389160156,550.117909793742,0.7185619110417696,-1,-33.439419215809814,524.3032163428143,-1,7.391722458182843,4.000000000246248,-70.68719170649698,0
1775583058000158200,3907.964158203125,550.117909793742,0.7185619110417696,-1,-33.43941990896658,524.3032163428143,-1,7.177601683439646,4.000000000249109,-70.68719039460247,0
