seconds_elapsed,latitude,longitude
1891.9641,33.439,70.6895
1892.9641,33.439,70.6895
1893.9641,33.439,70.6895
1894.9641,33.439,70.6894
1895.9641,33.439,70.6894
1896.9641,33.439,70.6894
1897.9641,33.439,70.6894
1898.9641,33.439,70.6894
1899.9641,33.439,70.6894
1900.9641,33.439,70.6893
1901.9641,33.439,70.6893
1902.9641,33.439,70.6893
1903.9641,33.439,70.6893
1904.9641,33.439,70.6893
1905.9641,33.439,70.6892
1906.9641,33.439,70.6892
1907.9641,33.439,70.6892
1908.9641,33.439,70.6892
1909.9641,33.439,70.6892
1910.9641,33.439,70.6892
1911.9641,33.439,70.6892
1912.9641,33.439,70.6891
1913.9642,33.439,70.6891
1914.9642,33.439,70.6891
1915.9642,33.439,70.6891
1916.9642,33.439,70.6891
1917.9642,33.439,70.689
1918.9642,33.439,70.689
1919.9642,33.439,70.689
1920.9642,33.439,70.689
1921.9642,33.439,70.689
1922.9642,33.439,70.6889
1923.9642,33.439,70.6889
1924.9642,33.439,70.6889
1925.9642,33.439,70.6889
1926.9642,33.439,70.6889
1927.9642,33.439,70.6889
1928.9642,33.439,70.6888
1929.9642,33.439,70.6888
1930.9642,33.439,70.6888
1931.9642,33.439,70.6888
1932.9642,33.439,70.6888
1933.9642,33.439,70.6887
1934.9642,33.439,70.6887
1935.9642,33.439,70.6887
1936.9642,33.439,70.6887
1937.9642,33.439,70.6887
1938.9642,33.439,70.6886
1939.9642,33.439,70.6886
1940.9642,33.439,70.6886
1941.9642,33.439,70.6886
1942.9642,33.439,70.6886
1943.9642,33.439,70.6886
1944.9643,33.439,70.6886
1945.9643,33.439,70.6885
1946.9643,33.439,70.6885
1947.9643,33.439,70.6885
1948.9643,33.439,70.6885
1949.9642,33.439,70.6885
1950.9642,33.439,70.6885
1951.9642,33.439,70.6884
1952.9642,33.439,70.6884
1953.9642,33.439,70.6884
1954.9642,33.439,70.6884
1955.9642,33.439,70.6884
1956.9642,33.439,70.6883
1957.9642,33.439,70.6883
1958.9642,33.439,70.6883
1959.9642,33.439,70.6883
1960.9642,33.4389,70.6883
1961.9642,33.4389,70.6883
1962.9642,33.439,70.6882
1963.9642,33.439,70.6882
1964.9642,33.439,70.6882
1965.9642,33.4389,70.6882
1966.9641,33.4389,70.6882
1967.9641,33.4389,70.6882
1968.9641,33.4389,70.6881
1969.9641,33.4389,70.6881
1970.9641,33.4389,70.6881
1971.9641,33.4389,70.6881
1972.9641,33.4389,70.6881
1973.9641,33.4389,70.688
1974.9641,33.4389,70.688
1975.9641,33.4389,70.688
1976.9641,33.4389,70.688
1977.9641,33.4389,70.688
1978.9641,33.4389,70.688
1979.9641,33.4389,70.688
1980.9641,33.4389,70.6879
1981.9641,33.4389,70.6879
1982.9641,33.4389,70.6879
1983.9641,33.4389,70.6879
1984.9641,33.4389,70.6879
1985.9641,33.4389,70.6879
1986.9641,33.4389,70.6878
1987.9641,33.4389,70.6878
1988.9641,33.4389,70.6878
1989.9641,33.4389,70.6878
1990.9641,33.4389,70.6878
1991.9641,33.4389,70.6877
1992.9642,33.4389,70.6877
1993.9642,33.4389,70.6877
1994.9642,33.4389,70.6877
1995.9642,33.4389,70.6877
1996.9642,33.4389,70.6877
1997.9642,33.4389,70.6877
1998.9642,33.4389,70.6876
1999.9642,33.4389,70.6876
2000.9642,33.4389,70.6876
2001.9642,33.4389,70.6876
2002.9642,33.4389,70.6876
2003.9642,33.4389,70.6876
2004.9642,33.4389,70.6876
2005.9642,33.4389,70.6875
2006.9642,33.4389,70.6875
2007.9642,33.4389,70.6875
2008.9642,33.4389,70.6875
2009.9642,33.4389,70.6875
2010.9642,33.439,70.6875
2011.9642,33.439,70.6875
2012.9642,33.439,70.6875
