time,seconds_elapsed,dBFS
1776314297669000000,54.805,-19.768606185913086
1776314297774000000,54.910000244140626,-23.77970314025879
1776314297879000000,55.015,-27.563753128051758
1776314297984000000,55.12,-31.504409790039062
1776314298089000000,55.225,-20.34478187561035
1776314298195000000,55.331,-19.354476928710938
1776314298300000000,55.436,-22.367137908935547
1776314298405000000,55.541,-23.547794342041016
1776314298510000000,55.64600024414062,-25.4112491607666
1776314298615000000,55.751,-25.443979263305664
1776314298720000000,55.856,-17.54033088684082
1776314298822000000,55.95800024414063,-20.22980499267578
1776314298927000000,56.063,-23.77775001525879
1776314299029000000,56.165,-25.24688720703125
1776314299134000000,56.270000244140626,-25.604320526123047
1776314299236000000,56.372,-5.969776630401611
1776314299341000000,56.477,-10.612593650817871
1776314299446000000,56.58200024414062,-13.504252433776855
1776314299551000000,56.687,-15.92835807800293
1776314299656000000,56.792,-20.233802795410156
1776314299761000000,56.897,-23.48324203491211
1776314299866000000,57.00199975585937,-26.66807746887207
1776314299972000000,57.108,-28.722415924072266
1776314300077000000,57.213,-31.042539596557617
1776314300182000000,57.31800024414063,-29.333251953125
1776314300287000000,57.423,-31.5583553314209
1776314300392000000,57.528,-34.181026458740234
1776314300497000000,57.633,-37.20720672607422
1776314300602000000,57.73799975585938,-39.73255157470703
1776314300707000000,57.843,-42.20552062988281
1776314300812000000,57.948,-27.075153350830078
1776314300915000000,58.051,-30.216764450073242
1776314301020000000,58.156,-34.510005950927734
1776314301122000000,58.25799975585937,-37.72534942626953
1776314301227000000,58.363,-39.573486328125
1776314301329000000,58.465,-30.633655548095703
1776314301434000000,58.56999975585938,-27.080692291259766
1776314301539000000,58.675,-25.268306732177734
1776314301639000000,58.775,-26.456573486328125
1776314301744000000,58.88,-29.446990966796875
1776314301850000000,58.985999755859375,-30.15675163269043
1776314301955000000,59.091,-33.054176330566406
1776314302060000000,59.196,-34.698509216308594
1776314302165000000,59.301,-35.11395263671875
1776314302270000000,59.40600024414063,-37.05351638793945
1776314302375000000,59.511,-36.254093170166016
1776314302480000000,59.616,-27.453054428100586
1776314302585000000,59.721,-28.447223663330078
1776314302690000000,59.82599975585938,-29.307342529296875
1776314302795000000,59.931,-31.373294830322266
1776314302900000000,60.036,-34.28191375732422
1776314303001000000,60.137,-36.91634750366211
1776314303106000000,60.241999755859375,-39.6364631652832
1776314303212000000,60.348,-40.03084945678711
1776314303317000000,60.453,-41.736183166503906
1776314303422000000,60.55800024414062,-43.65853500366211
1776314303527000000,60.663,-44.42447280883789
1776314303632000000,60.768,-35.260833740234375
1776314303735000000,60.871,-37.8403434753418
1776314303835000000,60.971,-37.31821823120117
1776314303938000000,61.073999755859376,-40.237037658691406
1776314304043000000,61.179,-41.42757034301758
1776314304148000000,61.284,-32.294498443603516
1776314304253000000,61.389,-28.9742374420166
1776314304358000000,61.49400024414062,-27.077056884765625
1776314304463000000,61.599,-29.374645233154297
1776314304569000000,61.705,-24.17549705505371
1776314304674000000,61.80999975585937,-21.409820556640625
1776314304779000000,61.915,-24.624141693115234
1776314304884000000,62.02,-26.981996536254883
1776314304987000000,62.123,-29.72833251953125
1776314305092000000,62.228,-32.3445930480957
1776314305197000000,62.333,-33.54066467285156
1776314305302000000,62.438000244140625,-35.69422149658203
1776314305407000000,62.543,-36.26557159423828
1776314305509000000,62.645,-37.88966751098633
1776314305614000000,62.75000024414062,-37.21715545654297
1776314305719000000,62.855,-39.041221618652344
1776314305824000000,62.96,-35.31157684326172
1776314305929000000,63.065,-33.398773193359375
1776314306034000000,63.16999975585937,-35.5756950378418
1776314306139000000,63.275,-37.94693374633789
1776314306244000000,63.38,-39.563472747802734
1776314306349000000,63.485,-41.123992919921875
1776314306454000000,63.590000244140626,-42.66465759277344
1776314306559000000,63.695,-37.188568115234375
1776314306661000000,63.797,-31.105993270874023
1776314306763000000,63.899,-33.20804214477539
1776314306866000000,64.00199975585937,-29.545656204223633
1776314306971000000,64.107,-31.430675506591797
1776314307076000000,64.212,-33.25401306152344
1776314307181000000,64.317,-33.3837890625
1776314307287000000,64.423,-35.97834777832031
1776314307392000000,64.528,-38.20928955078125
1776314307493000000,64.629,-40.051002502441406
1776314307598000000,64.73400024414063,-36.921451568603516
1776314307703000000,64.839,-38.7242317199707
1776314307807000000,64.943,-36.785133361816406
1776314307912000000,65.048,-38.615997314453125
1776314308017000000,65.153,-37.94626235961914
1776314308122000000,65.25799975585937,-34.20619201660156
1776314308227000000,65.363,-35.65778350830078
1776314308328000000,65.464,-32.97260665893555
1776314308433000000,65.569,-35.55107116699219
1776314308538000000,65.67399975585937,-36.3400764465332
1776314308643000000,65.779,-38.37090301513672
1776314308748000000,65.884,-38.52617263793945
1776314308853000000,65.989,-39.52680969238281
1776314308958000000,66.09400024414063,-32.88459396362305
1776314309064000000,66.2,-19.70081329345703
1776314309169000000,66.305,-22.25860595703125
1776314309274000000,66.40999975585937,-11.011773109436035
1776314309379000000,66.515,-11.693873405456543
1776314309484000000,66.62,-15.975115776062012
